Shelf,Item,Color,FFTime,FFUse,FFDTime,FFDUse,SATime,SAUse,PSTime,PSUse,GATime,GAUse
1000,500,7,0,93.74,0,98.13,183,96.48,16203,96.08,13417,95.68
1000,500,7,1,94.49,0,99.01,203,96.09,16042,96.09,13114,95.69
1000,500,7,0,93.29,1,98.70,182,96.55,16016,96.55,12860,96.13
1000,500,15,0,94.13,0,99.02,190,96.51,16294,96.11,13069,96.11
1000,500,15,0,93.45,1,98.82,193,96.27,15927,96.27,12897,96.27
1000,500,15,0,94.90,0,98.66,223,96.54,16247,96.54,13108,96.12
1000,500,15,1,94.16,0,99.13,180,96.58,16076,96.17,13004,96.17
1000,500,15,0,95.05,0,98.87,177,96.29,15936,96.29,13118,96.29
500,300,2,0,55.36,1,52.05,165,61.34,14952,59.93,11662,59.38
500,300,2,0,63.16,0,58.58,159,69.58,14199,67.19,10670,66.22
500,300,2,0,59.25,1,56.74,171,68.67,14641,65.64,11274,64.38
500,300,2,0,61.19,0,55.41,149,68.31,13698,65.87,10422,64.55
500,300,2,0,57.19,1,53.51,166,63.75,15010,61.40,11974,60.84
500,300,7,0,79.86,0,70.18,101,84.22,10600,82.72,8037,82.23
500,300,7,0,69.27,0,62.80,138,75.08,12608,72.64,9358,72.25
500,300,7,0,79.29,0,68.25,95,87.69,10056,86.54,7750,85.42
500,300,7,0,77.06,0,70.02,117,83.60,11411,81.14,8350,80.20
500,300,7,0,74.34,0,66.61,119,80.09,11411,79.15,8558,79.15
500,300,15,0,76.28,0,65.44,132,82.40,11061,80.90,8273,79.93
500,300,15,0,79.45,1,67.04,95,87.56,10178,86.38,7758,85.24
500,300,15,0,79.29,0,72.79,100,84.99,10617,83.49,7854,83.00
500,300,15,1,72.22,0,67.87,112,80.87,11668,78.07,8686,77.18
500,300,15,0,77.85,1,68.71,110,83.65,10792,82.62,8489,81.62
500,500,2,1,62.62,0,57.15,414,67.81,31254,65.48,25596,64.74
500,500,2,1,57.74,0,54.55,507,62.49,35986,60.66,29851,60.02
500,500,2,1,60.14,0,55.91,440,67.23,31668,64.31,26623,64.31
500,500,2,0,61.77,0,55.67,428,65.45,31152,64.30,24800,65.06
500,500,2,0,60.30,2,56.82,408,67.30,32168,64.24,26478,64.06
500,500,7,0,77.06,0,68.63,284,83.63,23038,82.11,18500,81.51
500,500,7,0,74.73,0,67.19,301,80.58,24123,79.18,19336,78.63
500,500,7,1,76.67,0,68.44,298,83.56,22989,81.73,17801,81.13
500,500,7,0,75.22,0,69.29,301,80.52,23924,80.24,20047,78.58
500,500,7,1,74.24,0,66.51,304,79.53,23374,80.39,18979,80.10
500,500,15,0,78.20,1,71.56,319,83.36,22973,82.16,18154,81.57
500,500,15,0,75.58,2,70.08,286,81.72,23905,80.30,19711,79.48
500,500,15,1,78.34,0,67.15,275,82.95,22766,82.34,18331,82.34
500,500,15,0,79.24,0,67.20,263,85.04,21889,84.07,17154,83.12
500,500,15,1,78.20,0,69.09,273,82.50,22847,81.31,18280,81.01
750,300,2,0,60.55,0,54.97,184,67.03,14378,64.40,10920,63.78
